panel-przyd,widz,wiek1,prez2-przyd,panel-future,znajomosc,meetup,freq2,prez1-przyd,druk,temat,freq1,sex,prez2-przyst,prez1-przyst,wiek2,skad,cel,ang,panel-przyst
,"Tak, na żywo",18-30,5,,jeszcze nic nie wiem;robię obecnie kurs typu bootcamp;używam Pythona hobbystycznie;znam inny język programowania;jestem na / po studiach informatycznych,001,,4,,,,Mężczyzna,,5,,od kogoś z teamu PyLight,"nie mam na razie preferencji, najpierw chcę poznać podstawy;web (back-end, web scraping, boty)",Tak,
,"Tak, na żywo",18-30,5,,używam Pythona hobbystycznie;używam Pythona zawodowo;znam inny język programowania;jestem na / po studiach informatycznych,001,,4,,,,Mężczyzna,3,2,,od kogoś z teamu PyLight,"web (back-end, web scraping, boty);data science (statystyka, wizualizacja danych, duże zbiory danych);Machine Learning i AI (obliczenia, statystyka, algorytmy)",Tak,
,Nie,31-40,,,używam Pythona zawodowo,001,,,,,,Mężczyzna,,,,od kogoś z teamu PyLight,"web (back-end, web scraping, boty);nauka (obliczenia, wizualizacja danych);data science (statystyka, wizualizacja danych, duże zbiory danych);Machine Learning i AI (obliczenia, statystyka, algorytmy)",Tak,
,"Tak, na żywo",18-30,,,używam Pythona zawodowo,001,,,,,,Mężczyzna,,,,na facebooku,"web (back-end, web scraping, boty);nauka (obliczenia, wizualizacja danych);data science (statystyka, wizualizacja danych, duże zbiory danych);Machine Learning i AI (obliczenia, statystyka, algorytmy)",Tak,
,"Tak, na żywo",18-30,5,,używam Pythona hobbystycznie;używam Pythona zawodowo;nie jestem na / po studiach informatycznych,001,,5,,,,Kobieta,5,5,,od kogoś z teamu PyLight,"nie mam na razie preferencji, najpierw chcę poznać podstawy;web (back-end, web scraping, boty)",Tak,
,"Tak, na żywo",18-30,3,,ukończyłam/ukończyłem tutorial podstaw Pythona;robię obecnie kurs typu bootcamp;używam Pythona hobbystycznie;używam Pythona zawodowo;jestem na / po studiach informatycznych,001,,5,,,,Mężczyzna,3,5,,na spotkaniu PyWaw,"nie mam na razie preferencji, najpierw chcę poznać podstawy",Tak,
,"Tak, na żywo",41-50,5,,ukończyłam/ukończyłem tutorial podstaw Pythona;używam Pythona hobbystycznie,001,,4,,,,Mężczyzna,4,5,,na facebooku,"nauka (obliczenia, wizualizacja danych);data science (statystyka, wizualizacja danych, duże zbiory danych);Machine Learning i AI (obliczenia, statystyka, algorytmy)",Tak,
,"Tak, na żywo",18-30,2,,robię obecnie tutorial podstaw Pythona,001,,3,,,,Kobieta,1,5,,od znajomego,"nie mam na razie preferencji, najpierw chcę poznać podstawy",Tak,
,"Tak, na żywo",18-30,3,,jeszcze nic nie wiem;robię obecnie tutorial podstaw Pythona;nie jestem na / po studiach informatycznych,001,,5,,,,Mężczyzna,5,5,,na facebooku,"web (back-end, web scraping, boty)",Tak,
,Nie,31-40,,,używam Pythona hobbystycznie;znam inny język programowania,001,,,,,,Kobieta,,,,na facebooku,"data science (statystyka, wizualizacja danych, duże zbiory danych);Machine Learning i AI (obliczenia, statystyka, algorytmy)",Tak,
